,1970,1975,1980,1985,1990,1995,2000,2005
pequeña,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
eran,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
yo,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
estar,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0
cantando,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
cuenta,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Alguna,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ni,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
si,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
son,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
visto,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Bailar,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
novia,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
unos,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
entre,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
asociada,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
le,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
pequeña.,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
canciones.,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cole,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
mayor,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
hasta,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
niños,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
imitar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
menos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
poner,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
acuerdo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
regaló,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
hacerlo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
discoteca,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Penelope,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"amigas,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
intentando,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coreografía.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
situada,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
entrando,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"derecha,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lejos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DJ.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
domingos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"mañaneros,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"tenía,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"otras,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
estas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cantaba,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalma,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Daddy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cool,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hicimos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
funcion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
grease,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"ensayos,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
perdidamente,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"adolescentes,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pavo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"tremendo,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cantando,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Siempre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
viajo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vamos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ponen,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
les,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gustan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sobre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
italianas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"cumpleaños,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tendría,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
celebró,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
colores,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"(amarillo,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"naranja,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rojo),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
platos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
vasos.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tengo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
extraordinariamente,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"casa,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
quienes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
quien,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cumpleaños.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonnie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
descubrí,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Turisas,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
montón,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
metí,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mp3.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
primo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
chaval,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
(nos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
llevamos,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tacos),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
haberle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"flipar,",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
disfrazarse,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
carnavales,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Travolta,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
haha,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
poster,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cumpleaños,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
peliculones,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
suelo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
voy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
(a,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
acaba,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COVID,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
poder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
volver,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
:´(,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
).,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
muy,0.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0
escuchar,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0
también,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0
escuchando,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
bailaba,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
baile,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0
estaba,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
Escuchar,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
Mecano,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Thriller,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
otro,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Había,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
bien.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
otra,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0
todos,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0
vez,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
"coche,",0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
amigos,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
fue,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
sin,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
FM,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
algún,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
día,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
e,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
desde,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
salón,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
KISS,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
porque,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0
Kiss,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
bailar,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0
estabamos,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
trabajo,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
tanto,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
año,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
todas,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
había,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
bailarlas,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
El,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
así,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
FM.,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
jugar,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
primer,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
ella,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
juntos.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
primera,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
metió,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
De,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
niño,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Cantar,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
adolescente,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Con,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
reconocido,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"hermanas,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Ir,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
dije,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Asociar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cantante,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
clases,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"asistía,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aunque,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
haya,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
exacta.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
casa.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contaba,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"""la",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"canción""",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tenían,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"padre,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bailaron,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tía.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
concierto,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
union,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
padres.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
volumen,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ensordecedor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
intentar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gritar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
encima,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"ruido,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
conseguir,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
oirme.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contentos,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pleno,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pulmón,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Star,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
especialmente,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aprendiendome,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
acrosport,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"radiocassette,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gustaban,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
movidas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
divertidas.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mp3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tuve,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(no,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
descargada,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
emule,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
imagínate),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
respuesta,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"repite,",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
