,1970,1975,1980,1985,1990,1995,2000,2005
parecía,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
guay,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sólo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
escuchara,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hermana.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
medio,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
limón,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
escuché,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
serie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"""Veneno"",",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"""""Biibababirapo""""",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
usa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
actualidad,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"memes,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
frecuentemente,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"mp3,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pueblo.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
acabé,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
olvidando,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
acordado,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
partir,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
volvió,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
meme,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
poco.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
asociados,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
felices,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
agridulces,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
reconocido.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"realidad,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
vívidos.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"escena,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"memoria,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
perfectamente,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
haberlas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
vez.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Y,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Aguilera,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MTV.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Igual,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
debería,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
radio.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"pienso,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pueden,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
evocarme,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
videoclip.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pasa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Aguilera,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
videoclips,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Maroon,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Number,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"5,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"pipapaparapa,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
típicas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
salgan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
radio/,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tuviera,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
casette,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tipo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mongolear,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Yo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
escuche,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
versión,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
techno,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Cranberries""",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
",",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alucinaba,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mundo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
sabia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"techno,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
grupo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
original,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"no,",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bastante,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
famoso.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bailarla,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
acrogimnasia.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hace,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
redescubió,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contó,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
história,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
significado.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
torero,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Estopa,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
patio,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Hay,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
encantaba,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
cómo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ahora,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ha,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
disco,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MTV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DiscMan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
momento.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
compañeras.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"curso,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
populares,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
amigas.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Sonó,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"viaje,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
También,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pub,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
solíamos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ir.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
David,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bisbal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bares,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
domingo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
misa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
early,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
infancia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bailes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Leonardo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dantés,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Chayanne.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Upa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dance,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
(recuerdos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sola),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tambien,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
representando,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"letra,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
inflamados,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Escuchando,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
algunos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
regalaron,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
inventamos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
escucharlas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
momento,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
(imagino,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"bien),",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sí,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sentir,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mismo.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
(principalmente,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
piscina,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"fiestas),",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
agradable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
época.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ansiedad,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
:_,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"vívidos,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
oía,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
televisión),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
videoclip,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
incluido.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"salón,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"reconstrucción,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
imposible,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
acuerde.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Veranito,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
playa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sexto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
primaria,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
descargado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rellano,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kazaa.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
comprara,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pirata,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Caribe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mix,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bomba,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hitazo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
comercialísimo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
supuesto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5to,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6to,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"primaria,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"amigos,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ricky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Martin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Chayanne,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ensayaba,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
curso.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
da,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
general.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sonar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
veraneando,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
playa.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Shakira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hacía,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
amiga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
deberes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
reírme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Pitbull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
escucharla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
esta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
acera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
concreta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
barrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ipod.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hará,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
chico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hammerfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dijo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
suya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
colgando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Violadores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
versi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
camino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dibujaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Viva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
betis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"youtube,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"""suerte",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pechos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pequeños,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
confundas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"montañas""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tarde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
(2012-2014),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
parecían,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ridículas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
haber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pesadísimo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"ella,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
peluche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
león,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
inventaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
letra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ritmo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
estuve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
(con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
variaciones),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
(recuerdo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
consciente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pesado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
parar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gracia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
molestando).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tíos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
primos.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Saints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Are,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Coming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Katrina,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probablemente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
guays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
conocí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
U2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gracias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"meses,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
compu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
piso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sabía,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
discografía,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Shakira.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"básicamente,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alejandro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sanz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
par,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
robo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
recopilación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
escucharlo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
quemé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
escucharlo.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tanto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sentaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dábamos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
diría,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nuestra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"amistad,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
todavía,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
disfruto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
surgió,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Estas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aparecían,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
muchísimos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
“me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
acompañado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
algo”,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"adolescente,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
descubría,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
buscaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nuevos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
temazos.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
este,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
raprero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
(rapsus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
violadores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
verso?),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nombres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nunca.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
